City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Alta Floresta,BR,2021-07-28 00:13:23,-9.8756,-56.0861,78.1,36,38,2.53
168,Ostrovnoy,RU,2021-07-28 00:13:23,68.0531,39.5131,49.37,84,67,4.68
169,Umred,IN,2021-07-28 00:13:23,20.85,79.3333,76.78,82,100,11.5
170,Cidreira,BR,2021-07-28 00:13:23,-30.1811,-50.2056,48.94,51,35,18.81
171,Morehead,US,2021-07-28 00:13:24,37.2711,-87.1764,89.15,67,1,0.0
172,Caravelas,BR,2021-07-28 00:13:24,-17.7125,-39.2481,72.79,84,2,9.71
173,Socorro,US,2021-07-28 00:11:34,31.6546,-106.3033,98.02,21,40,4.61
174,Tomatlan,MX,2021-07-28 00:13:24,19.9333,-105.25,85.68,70,58,6.46
175,Yeniseysk,RU,2021-07-28 00:13:25,58.4497,92.1703,55.99,85,97,5.95
176,Lamar,US,2021-07-28 00:13:25,33.6668,-95.5836,82.56,94,90,5.75
177,Balti,MD,2021-07-28 00:13:25,47.7617,27.9289,73.42,75,13,6.02
178,Ngunguru,NZ,2021-07-28 00:13:25,-35.6167,174.5,65.16,67,82,11.3
179,Boda,CF,2021-07-28 00:13:26,4.3189,17.4695,69.13,96,100,4.72
180,Salta,AR,2021-07-28 00:13:26,-24.7859,-65.4117,45.57,67,95,1.99
181,Port Elizabeth,ZA,2021-07-28 00:09:58,-33.918,25.5701,55.09,81,31,15.84
182,Katakwi,UG,2021-07-28 00:13:26,1.8911,33.9661,68.61,71,100,2.68
183,Lorengau,PG,2021-07-28 00:13:27,-2.0226,147.2712,84.42,74,10,6.64
184,Cleethorpes,GB,2021-07-28 00:13:27,53.5605,-0.0323,63.97,81,85,4.72
185,Riyadh,SA,2021-07-28 00:11:29,24.6877,46.7219,102.34,12,52,14.67
186,Port Lincoln,AU,2021-07-28 00:12:31,-34.7333,135.8667,54.25,63,7,26.33
187,Riverton,US,2021-07-28 00:13:27,40.5219,-111.9391,91.29,40,1,8.01
188,Camacha,PT,2021-07-28 00:13:28,33.0833,-16.3333,70.54,64,75,14.97
189,Saint-Philippe,RE,2021-07-28 00:13:28,-21.3585,55.7679,65.79,89,56,11.74
